KIAA0748, 9065, 14.982310
EGFL7, 5619, 12.987396
TPBG, 18749, 12.423827
SLCO2A1, 17016, 12.221197
OR14I1, 12950, 12.202914
MKX, 11565, 12.146324
CABP1, 3102, 11.929894
C13orf16, 2164, 11.559524
GALNT9, 6985, 11.544258
EPHX4, 5845, 11.400587
MCHR2, 11299, 11.399647
RASGRF2, 15128, 11.312589
SUSD5, 17740, 11.251860
LRRC8B, 10922, 11.187610
MUM1L1, 11958, 11.006130
NETO2, 12324, 10.854335
PRSS16, 14664, 10.782033
PREP, 14522, 10.759510
C21orf128, 2631, 10.609959
TMEM81, 18554, 10.597099
CCK, 3457, 10.467939
GNG13, 7309, 10.438776
KIF17, 9165, 10.406019
TNNT2, 18679, 10.403494
HR, 8197, 10.324108
C13orf33, 2172, 10.302510
C11orf87, 2104, 10.278595
KMO, 9313, 10.270323
STARD4, 17587, 10.245572
MIR7-3HG, 11546, 10.165756
FBXO40, 6454, 10.133993
STEAP1, 17606, 10.079008
C21orf110, 2629, 10.040656
NUAK1, 12712, 10.016280
FMN1, 6700, 9.997412
CASQ1, 3255, 9.968941
CDH18, 3690, 9.927581
CA10, 3081, 9.890938
VSTM2L, 19639, 9.830927
OLFM3, 12857, 9.762878
SERTAD4, 16411, 9.753294
ATRNL1, 1603, 9.725790
RARB, 15107, 9.725596
MAPK13, 11185, 9.724033
KIAA1467, 9117, 9.680090
CRH, 4448, 9.678122
AC005551.1, 141, 9.666578
LOC646627, 10594, 9.619847
AC112641.2, 359, 9.614065
WDR24, 19700, 9.605539
KCNC2, 8887, 9.596424
IPCEF1, 8661, 9.575100
SLCO4C1, 17020, 9.445512
HAPLN4, 7757, 9.430768
CRLF1, 4466, 9.393867
UBXN10, 19309, 9.338157
KCNJ12, 8918, 9.301798
LAMB3, 9515, 9.241866
FREM3, 6798, 9.214551
MYO15A, 12038, 9.208804
OPN3, 12884, 9.082813
LOC646548, 10592, 9.045341
SHD, 16560, 9.002014
PVALB, 14889, 8.993256
DBNDD1, 4878, 8.985808
LASS6, 9547, 8.983160
AC079341.1, 293, 8.971167
LGI3, 9663, 8.951324
SPON2, 17396, 8.941046
PRAP1, 14488, 8.936935
